1      2  3     4     5      6     7     8     9    10     11   12    13      14
2018   4  0   -3.2   26.2   4.1  -0.6   1.3   4.5  368.   1.5  -0.3   5.8   56467.
2018   4  1   -3.2   26.3   3.5  -1.1   2.4   4.6  366.   0.9  -0.3   6.2   43820.
2018   4  2   -3.2   26.3   3.1  -3.3   0.4   4.6  366.   0.6  -0.9   6.5   48641.
2018   4  3   -3.2   26.3   2.3  -3.5  -0.9   4.4  365.   1.1  -0.4   6.7   37592.
2018   4  4   -3.2   26.4  -1.0  -2.8  -1.8   4.1  371.   1.3  -0.6   7.3   28731.
2018   4  5   -3.2   26.4  -0.4  -2.3  -0.8   3.4  369.   0.9  -0.6   8.8   23230.
2018   4  6   -3.2   26.5   0.4  -1.1   0.1   2.8  366.   0.6  -1.5   8.4   31206.
2018   4  7   -3.3   26.5   1.2  -2.9   0.3   3.6  381.   2.0  -0.5   5.1   46244.
2018   4  8   -3.3   26.6   2.6  -1.9   1.0   3.5  378.   1.6   0.8   4.8   49574.
2018   4  9   -3.3   26.6   2.4  -2.7   0.0   3.6  374.   1.4   0.8   4.6   36304.
2018   4 10   -3.3   26.6   2.8  -2.7   0.1   4.0  367.   0.6   1.0   4.2   29561.
2018   4 11   -3.3   26.7   2.5  -2.2  -0.8   3.4  366.  -0.0  -0.0   4.7   40036.
2018   4 12   -3.3   26.7   3.2  -0.3   0.6   3.3  372.   0.4   0.6   4.4   54057.
2018   4 13   -3.3   26.8   2.8   0.4   0.4   3.0  370.   0.8   1.0   4.4   47547.
2018   4 14   -3.3   26.8   2.5  -0.2   0.2   2.6  368.   1.4   1.8   4.5   45937.
2018   4 15   -3.3   26.9   2.6   0.0   0.9   2.9  372.   0.8   0.2   4.1   35213.
2018   4 16   -3.3   26.9   0.9  -1.8  -0.5   3.3  392.   1.2  -1.0   4.1   25240.
2018   4 17   -3.3   26.9  -1.7  -1.2  -2.5   3.4  388.   0.7  -1.2   4.2   27875.
2018   4 18   -3.3   27.0  -1.2  -1.8  -2.3   3.2  389.   1.3  -1.3   4.2   29153.
2018   4 19   -3.3   27.0   2.1  -1.4   0.7   3.4  382.   0.2  -1.3   4.5   33437.
2018   4 20   -3.3   27.1   2.0  -1.9  -1.5   3.5  381.   2.0  -0.6   4.3   31394.
2018   4 21   -3.3   27.1   0.3  -1.8  -1.9   2.8  389.   2.5  -1.6   4.7   29632.
